subj,trial,condition,target,respond,error,trial_duration_msec,reproduction_duration_msec,fb,fb_true,fb_offset,fb_time,GoodTrial
03,107,FB,5.404685,4.732504,-0.6721811,10208.4999999999,5809.59999999998,1.5548635,2.7023425,-1.147479,,1
03,108,FB,5.517882,5.035866,-0.4820161,10606.9,4764.70000000001,2.2852665,2.758941,-0.4736745,,1
03,109,FB,6.221869,8.55841,2.336541,13873.4,8475.20000000001,4.5772025,3.1109345,1.466268,,1
03,110,FB,5.983171,6.314627,0.3314562,10163.8,5842.40000000002,3.2561812,2.9915855,0.2645957,,1
03,111,FB,5.396889,5.11144,-0.285449,13933.7000000001,9035.40000000002,1.7952839,2.6984445,-0.9031606,,1
03,112,FB,3.179934,3.882676,0.7027423,8613.20000000007,4970.60000000003,1.52317737,1.589967,-0.06678963,,1
03,113,FB,6.051087,6.526047,0.4749599,12006.3,6720.59999999998,2.96952491,3.0255435,-0.05601859,,1
03,114,FB,2.386397,4.727732,2.341335,6955.5,4854.20000000007,2.4621755,1.1931985,1.268977,,1
03,115,FB,5.956032,7.542534,1.586503,11186.1000000001,6553.20000000007,2.978016,2.978016,0,,1
03,116,FB,2.590487,2.588136,-0.002351284,6367.09999999998,3432.5,0.2668565,1.2952435,-1.028387,,1
03,117,FB,2.755694,4.542712,1.787018,8398.19999999995,5164.90000000002,2.681939,1.377847,1.304092,,1
03,118,FB,7.715975,9.118928,1.402953,22336.5,15682.6,5.3280415,3.8579875,1.470054,,1
03,119,FB,4.243553,3.969864,-0.2736883,8118.39999999991,4086.5,0.8789485,2.1217765,-1.242828,,1
03,120,FB,2.143229,3.758144,1.614915,11540.7000000001,5387.40000000002,2.4286345,1.0716145,1.35702,,1
03,121,FB,5.512896,5.820514,0.3076177,19470.5,12506.2000000001,2.756448,2.756448,-0,,1
03,122,FB,6.395277,7.701963,1.306686,17771.5,10851.5,3.8270027,3.1976385,0.6293642,,1
03,123,FB,2.534285,4.549047,2.014762,7014,4610,2.4592145,1.2671425,1.192072,,1
03,124,FB,2.465052,3.733972,1.26892,8732.30000000005,4499,1.7475826,1.232526,0.5150566,,1
03,125,FB,3.631938,4.512494,0.8805556,7198.30000000005,4464.59999999998,1.9940364,1.815969,0.1780674,,1
03,126,FB,2.345436,2.593581,0.2481456,6255.30000000005,3843.59999999998,0.7596686,1.172718,-0.4130494,,1
03,127,FB,4.726521,4.287966,-0.4385543,9586.80000000005,4699,1.0759895,2.3632605,-1.287271,,1
03,128,FB,6.415478,6.261802,-0.153676,11939.7999999999,6298.39999999991,2.5178946,3.207739,-0.6898444,,1
03,129,FB,2.224668,3.300486,1.075819,6521.49999999988,3787.69999999995,0.7665334,1.112334,-0.3458006,,1
03,130,FB,4.945379,5.562264,0.6168852,9408.40000000002,5354,2.2325133,2.4726895,-0.2401762,,1
03,131,FB,3.006935,5.5768,2.569865,8187.59999999998,5664.40000000002,2.7674865,1.5034675,1.264019,,1
03,132,FB,5.432174,5.618299,0.1861248,10157.1,5542.90000000002,3.0924491,2.716087,0.3763621,,1
03,133,FB,7.347242,8.483784,1.136542,66371.6000000001,58417.4,3.673621,3.673621,0,,1
03,134,FB,4.04454,5.270936,1.226397,14567,10708,2.440399,2.02227,0.418129,,1
03,135,FB,6.103297,6.467423,0.3641257,11968,6023,3.0516485,3.0516485,0,,1
03,136,FB,4.67807,4.635266,-0.04280424,10619,6109,1.3560587,2.339035,-0.9829763,,1
03,137,FB,7.150224,8.41354,1.263316,18115,11418,4.1964379,3.575112,0.6213259,,1
03,138,FB,4.781466,6.602567,1.8211,13674,8308,3.508311,2.390733,1.117578,,1
03,139,FB,6.4695,7.344777,0.8752775,12209,7609,4.1824402,3.23475,0.9476902,,1
03,140,FB,3.78801,5.664611,1.876601,9030,5698,3.130812,1.894005,1.236807,,1
03,141,FB,4.685955,4.095608,-0.5903468,7976,4032,0.9474165,2.3429775,-1.395561,,1
03,142,FB,4.087408,4.577597,0.4901891,8466,4377,2.043704,2.043704,-0,,1
03,143,FB,3.97151,6.256754,2.285244,12046,7542,3.443026,1.985755,1.457271,,1
03,144,FB,2.04675,4.416203,2.369453,10009,6898,2.508948,1.023375,1.485573,,1
03,145,FB,2.043643,1.772488,-0.2711548,5944,3610,-0.1086235,1.0218215,-1.130445,,1
03,146,FB,6.280371,5.582133,-0.6982374,11104,5695,1.6912885,3.1401855,-1.448897,,1
03,147,FB,2.138425,1.517436,-0.6209893,4821,2532,-0.2927495,1.0692125,-1.361962,,1
03,148,FB,5.234455,6.850583,1.616128,12609,7265,3.7356005,2.6172275,1.118373,,1
03,149,FB,2.960397,3.837739,0.8773427,7726,3693,1.7935001,1.4801985,0.3133016,,1
03,150,FB,4.502014,5.510476,1.008462,10898,7353,3.0241301,2.251007,0.7731231,,1
03,151,noFB,2.721426,4.116174,1.394748,17072,14705,0,0,0,0,1
03,152,noFB,6.205788,7.321908,1.116121,21619,15465,0,0,0,0,1
03,153,noFB,7.638344,7.77535,0.1370063,19649,12585,0,0,0,0,1
03,154,noFB,6.744366,6.473929,-0.2704372,21895,11974,0,0,0,0,1
03,155,noFB,4.702684,4.605431,-0.09725285,21125,14216,0,0,0,0,1
03,156,noFB,3.276949,2.98443,-0.2925186,26380,10878,0,0,0,0,1
03,157,noFB,6.806133,5.750599,-1.055534,24869,16505,0,0,0,0,1
03,158,noFB,2.594843,3.179199,0.5843558,7788,4499,0,0,0,0,1
03,159,noFB,5.59748,6.661095,1.063615,19083,12129,0,0,0,0,1
04,1,noFB,4.437931,3.460212,-0.9777184,18132.56,9017.17,0,0,0,0,1
04,2,noFB,7.030166,4.627548,-2.402618,27046.89,9195.40000000001,0,0,0,0,1
04,3,noFB,6.690798,4.325521,-2.365277,54452.4,44390.6,0,0,0,0,1
04,4,noFB,3.104011,0.01150154,-3.09251,6287.59999999998,1177.59999999998,0,0,0,0,0
04,5,noFB,6.132878,5.210812,-0.9220657,18737,10628.4,0,0,0,0,1
04,6,noFB,6.414202,5.233226,-1.180976,23060.2,14837.9,0,0,0,0,1
04,7,noFB,6.700433,4.703178,-1.997255,16183.7,8253.39999999997,0,0,0,0,1
04,8,noFB,5.277603,4.744659,-0.5329437,15704.3,9584.79999999999,0,0,0,0,1
04,9,noFB,5.828839,5.659293,-0.1695466,15915.7999999999,9429.89999999997,0,0,0,0,1
04,10,noFB,7.766787,4.809638,-2.957149,18913.9,8462.69999999995,0,0,0,0,1
04,11,FB,4.005211,3.801695,-0.2035162,11485,6320.09999999998,2.2260888,2.0026055,0.2234833,,1
04,12,FB,7.499171,6.394847,-1.104324,16327.4,8452.09999999998,3.2260665,3.7495855,-0.523519,,1
04,13,FB,5.058606,5.716059,0.6574531,15083.8999999999,9684.69999999995,2.7544638,2.529303,0.2251608,,1
04,14,FB,3.40546,3.278902,-0.1265581,15196.3,6386.80000000005,0.626834,1.70273,-1.075896,,1
04,15,FB,4.683145,5.148449,0.4653044,15304.4,9751.30000000005,2.9742076,2.3415725,0.6326351,,1
04,16,FB,2.730023,2.934239,0.2042162,12685,6142.09999999998,0.5014313,1.3650115,-0.8635802,,1
04,17,FB,7.252586,6.711083,-0.541503,18837.2,9462.80000000005,4.933324,3.626293,1.307031,,1
04,18,FB,5.214904,5.377485,0.1625814,13552.7000000001,7940.80000000005,2.1559322,2.607452,-0.4515198,,1
04,19,FB,4.781777,5.576163,0.7943864,12663.1000000001,7297.80000000005,3.7430535,2.3908885,1.352165,,1
04,20,FB,7.158226,6.475073,-0.6831536,18415.9,8429.90000000002,3.3885634,3.579113,-0.1905496,,1
04,21,FB,5.308863,4.106085,-1.202778,11517.8,5809.20000000007,2.6544315,2.6544315,-0,,1
04,22,FB,6.73098,4.320546,-2.410434,12864.8999999999,6255.09999999998,3.0845273,3.36549,-0.2809627,,1
04,23,FB,3.897333,3.82137,-0.07596278,10440.1000000001,5609,2.2471008,1.9486665,0.2984343,,1
04,24,FB,5.359312,4.478888,-0.880424,11928.5,6153.29999999993,2.679656,2.679656,0,,1
04,25,FB,4.283762,2.565552,-1.71821,9919.70000000007,4432.20000000007,1.1741504,2.141881,-0.9677306,,1
04,26,FB,4.065427,2.879786,-1.185641,8485,4286.90000000002,0.8913925,2.0327135,-1.141321,,1
04,27,FB,6.941581,4.192527,-2.749054,12939.4,5508.90000000002,4.5536675,3.4707905,1.082877,,1
04,28,FB,5.395986,3.519857,-1.876129,10963.5000000001,4876.20000000007,3.1725726,2.697993,0.4745796,,1
04,29,FB,7.690947,7.621932,-0.06901503,18348.5,9729.59999999998,5.3193645,3.8454735,1.473891,,1
04,30,FB,7.603579,7.220933,-0.3826461,18280.9999999999,8662.69999999995,4.3772685,3.8017895,0.575479,,1
04,31,FB,7.168421,6.930295,-0.2381258,16168.4999999999,8738.19999999995,5.0823405,3.5842105,1.49813,,1
04,32,FB,6.428687,6.38363,-0.04505682,14254.9,7546,3.5261118,3.2143435,0.3117683,,1
04,33,FB,6.119474,4.976332,-1.143142,13253.5000000001,6622.70000000007,2.6411994,3.059737,-0.4185376,,1
04,34,FB,3.131757,3.026136,-0.1056213,9041,4709.69999999995,1.7875322,1.5658785,0.2216537,,1
04,35,FB,6.321981,5.866255,-0.4557261,14336,7404,3.6359151,3.1609905,0.4749246,,1
04,36,FB,2.892277,2.732834,-0.1594436,9385,5320,0.598097,1.4461385,-0.8480415,,1
04,37,FB,2.076826,2.19792,0.121094,6143,3543,1.038413,1.038413,0,,1
04,38,FB,7.785272,4.539275,-3.245997,14172,5331,2.428134,3.892636,-1.464502,,1
04,39,FB,4.19726,3.374064,-0.8231955,9740,4842,3.466951,2.09863,1.368321,,1
04,40,FB,2.385402,1.736529,-0.6488733,5553,2366,0.5213396,1.192701,-0.6713614,,1
04,41,FB,2.798723,1.970917,-0.8278061,5955,2566,2.0295056,1.3993615,0.6301441,,1
04,42,FB,6.393778,6.061726,-0.3320522,12927,6741,3.196889,3.196889,-0,,1
04,43,FB,2.730244,1.898102,-0.8321415,5799,2622,1.365122,1.365122,-0,,1
04,44,FB,3.038508,1.916298,-1.12221,6288,2788,1.519254,1.519254,0,,1
04,45,FB,5.699628,4.84845,-0.8511782,12075,5921,3.8120928,2.849814,0.9622788,,1
04,46,FB,4.645571,0.07968527,-4.565886,6800,835,1.2701975,2.3227855,-1.052588,,0
04,47,FB,2.373706,2.392916,0.01920986,5999,3254,1.5986446,1.186853,0.4117916,,1
04,48,FB,3.247386,3.302294,0.05490828,8288,4466,2.0733061,1.623693,0.4496131,,1
04,49,FB,3.998292,3.74716,-0.2511322,9520,4454,2.2421773,1.999146,0.2430313,,1
04,50,FB,3.981454,3.368519,-0.6129358,8910,4199,1.990727,1.990727,-0,,1
04,51,FB,6.771118,3.806246,-2.964872,13836,5662,2.00357,3.385559,-1.381989,,1
04,52,FB,4.614792,2.853805,-1.760987,10130,4432,3.307845,2.307396,1.000449,,1
04,53,FB,2.157811,1.64662,-0.5111905,4820,2199,1.3990971,1.0789055,0.3201916,,1
04,54,FB,2.786665,1.776893,-1.009772,6240,2643,0.995248,1.3933325,-0.3980845,,1
04,55,FB,5.341885,3.038214,-2.303671,9364,3555,1.9232922,2.6709425,-0.7476503,,1
04,56,FB,5.554184,3.994542,-1.559642,11606,5364,2.777092,2.777092,-0,,1
04,57,FB,6.343188,3.858771,-2.484417,12058,4773,4.413709,3.171594,1.242115,,1
04,58,FB,7.591954,5.749705,-1.842249,14895,6321,3.5828449,3.795977,-0.2131321,,1
04,59,FB,6.99778,5.795914,-1.201867,13795,6919,3.6961373,3.49889,0.1972473,,1
04,60,FB,6.444426,3.661986,-2.78244,10718,4554,3.222213,3.222213,-0,,1
04,61,FB,2.260695,3.430551,1.169857,6998,4121,2.4251825,1.1303475,1.294835,,1
04,62,FB,2.354186,2.234375,-0.1198111,7764,3365,0.9901128,1.177093,-0.1869802,,1
04,63,FB,2.327128,1.336543,-0.9905852,5044,1945,0.5014036,1.163564,-0.6621604,,1
04,64,FB,4.962099,3.063989,-1.898109,9319,3888,3.8008515,2.4810495,1.319802,,1
04,65,FB,6.182974,3.582817,-2.600157,11653,4943,3.5092524,3.091487,0.4177654,,1
04,66,FB,6.726732,3.878771,-2.847961,12151,5009,4.2527468,3.363366,0.8893808,,1
04,67,FB,6.627841,5.035192,-1.592648,13062,6042,3.5278325,3.3139205,0.213912,,1
04,68,FB,4.787263,2.919053,-1.86821,9451,4076,1.8607546,2.3936315,-0.5328769,,1
04,69,FB,7.14509,4.068195,-3.076894,12363,4999,2.175006,3.572545,-1.397539,,1
04,70,FB,2.135178,2.39349,0.258312,6231,3299,1.2822012,1.067589,0.2146122,,1
04,71,FB,5.833052,3.321723,-2.511329,12181,5573,1.625018,2.916526,-1.291508,,1
04,72,FB,7.105846,6.531588,-0.5742588,15840,8042,4.0750227,3.552923,0.5220997,,1
04,73,FB,5.856026,7.034183,1.178156,14461,8607,4.246751,2.928013,1.318738,,1
04,74,FB,4.260202,5.616202,1.356,11106,6397,3.168244,2.130101,1.038143,,1
04,75,FB,4.588356,4.34063,-0.2477264,9330,4943,2.0755854,2.294178,-0.2185926,,1
04,76,FB,5.4561,3.94362,-1.51248,10740,5142,2.72805,2.72805,0,,1
04,77,FB,5.848015,4.013488,-1.834527,11661,5409,1.6030435,2.9240075,-1.320964,,1
04,78,FB,5.867814,5.209041,-0.6587725,12529,6420,3.1252978,2.933907,0.1913908,,1
04,79,FB,7.483675,4.247262,-3.236413,12404,4663,2.4856215,3.7418375,-1.256216,,1
04,80,FB,7.006921,5.876218,-1.130703,13307,6697,4.3607078,3.5034605,0.8572473,,1
04,81,FB,6.203624,4.615108,-1.588516,11828,5931,2.040047,3.101812,-1.061765,,1
04,82,FB,2.683277,2.064427,-0.6188502,6509,2966,0.8648223,1.3416385,-0.4768162,,1
04,83,FB,2.247353,1.691701,-0.5556525,5588,2389,1.3589172,1.1236765,0.2352407,,1
04,84,FB,2.010383,1.548607,-0.4617766,4933,2233,1.0051915,1.0051915,-0,,1
04,85,FB,6.271173,3.896823,-2.374351,12541,5465,3.06758666,3.1355865,-0.06799984,,1
04,86,FB,4.313936,3.166911,-1.147025,8509,4111,2.156968,2.156968,0,,1
04,87,FB,4.223128,2.560403,-1.662725,8209,3822,0.677537,2.111564,-1.434027,,1
04,88,FB,3.890573,3.283744,-0.6068292,9554,5110,1.9452865,1.9452865,0,,1
04,89,FB,3.333302,2.24591,-1.087392,6565,2888,1.666651,1.666651,0,,1
